kai_prj_nm,kai_srh_tms,kai_sln_id
Refrigeration,shelf cracked,K33721236
Washer,not working,K76590213
LawnGarden,not starting,K14011222
Dish,r,K25134644
Washer,product,K31450020
Refrigeration,.,K01401216
Dish,"NOT CLEANING THE DISHES, BUZZING NOISE",K00359504
Refrigeration,not making enough ice,K10849800
Dryer,steam,K74325942
Dryer,cosmetic damage on dryer,K24334412
Cooking,discoloration,K05539431
LawnGarden,.,K41003644
Dryer,not drying,K44343207
Refrigeration,NOT MAKING ICE,K05703652
Cooking,OVEN TOO HOT,K81344192
Refrigeration,filter,K05135760
Cooking,level,K98233649
Washer,will not spin,K20454194
Washer,water,K01024703
Refrigeration,plastic coating was not removed,K82007839
Electronics,needs to adjust color,K70577122
LawnGarden,will not start,K18104905
Refrigeration,moisture,K17399944
Dryer,cleaning,K42518209
Dryer,venting,K11850393
Refrigeration,filter light on,K16931553
Cooking,whistling noise,K32159355
Washer,dispenser,K15124907
Cooking,.,K95962534
LawnGarden,.,K05612331
Refrigeration,Recall so41372285/ nds to replace drawer with vegg,K09147521
Dish,control lock,K44200306
Dish,drying,K51473068
Dish,not drying dishes,K51564148
Dish,top rack falling down,K85291412
Refrigeration,ice maker,K15930152
Refrigeration,Water filter light will not turn off,K93664566
Refrigeration,water filter,K05135760
Dryer,not coming on,K54699012
Dish,taking long time and not dry,K22249212
Refrigeration,NDCS/CRISPER DAMAGED,K43744712
LawnGarden,bypass lever,K55308244
Refrigeration,nit making ice,K72567184
LawnGarden,oil,K32205842
Dish,not draining,K12291159
Washer,.,K44924536
Washer,temp,K06305153
Refrigeration,end cap,K42202788
Cooking,heating,K43592555
Dish,not draining,K43545405
Refrigeration,light cover,K24493863
Refrigeration,DOORS UNEVEN,K24342516
Washer,INFO,K54212246
Dryer,venting,K43045550
Dish,leaking,K44373547
Washer,cl error,K34203586
LawnGarden,not starting,K32205842
LawnGarden,blade installation,K03543901
Dryer,taking a long time to dry,K11850393
Dish,not filling,K51623103
Refrigeration,unit not dispensing water,K82007839
Washer,install,K46428498
Dish,not draining,K43545405
Cooking,misfore,K35221207
Refrigeration,freezing up,K04596273
Refrigeration,....,K32907265
Cooking,not liting,K30488914
Dish,odor,K04291144
Electronics,remote issues,K14519410
Dryer,lint screen,K58126442
Refrigeration,not leveled,K58301822
LawnGarden,locked up,K11535466
Dish,cleaning,K51482973
Washer,water in dispencer,K01024703
Dryer,MWO,K21080047
Cooking,CLOCK IS TOO DIM,K14421246
Refrigeration,noise,K31048934
Dryer,info,K21080047
Refrigeration,door,K75210802
Refrigeration,drawer wheel assembly damaged,K43744712
Washer,info,K54212246
HVAC,not working,K33640202
Washer,clothes too wet / not completing cycle,K51516077
Dryer,noise,K56215192
Washer,mwo,K46428498
Refrigeration,filter,K05135760
LawnGarden,turns on then shuts down,K14011222
LawnGarden,dead battery,K11535466
Refrigeration,particles in water from dispenser,K31729424
Washer,leaking,K01026345
Refrigeration,no ice,K05703652
LawnGarden,not starting,K15086050
LawnGarden,wont start,K27305919
Refrigeration,water tube came loose,K82007839
Washer,stuck on agitation cycle,K51516077
Dryer,heat,K44343207
Dish,dry,K51473068
Refrigeration,water filter,K05135760
Refrigeration,clicking noise,K52846840
Cooking,not heating,K61451021
Cooking,not turning on,K15348763
LawnGarden,belt,K36721628
Dish,excess,K75111250
Dryer,dryng,K56215192
Refrigeration,door not closing,K15104968
Refrigeration,NDCS warm molliean,K06250123
GarageDoorOpener-Tools,not moving,K20480219
Washer,drn error code,K53232295
Dryer,WMO,K46428498
Dryer,NDCS dryer dial is broken,K07173040
LawnGarden,what oil,K79052997
Washer,NDCS LINT SCREEN,K60207654
Refrigeration,no ice,K04112301
LawnGarden,reverse,K11058584
Dryer,taking to long to dry,K44343207
GarageDoorOpener-Tools,moving,K59279012
Dish,making weird noises,K37409501
LawnGarden,change oil,K25350079
Washer,making a noises,K13311943
Refrigeration,runs all the time,K18401934
Washer,how to clean washer,K34534223
Refrigeration,not working,K33623062
Dish,TOP RACK ROLLERS BROKEN,K16584205
Dish,lock light is on,K47209960
Washer,clothes has lint,K34635239
Dish,leaking,K44373547
Dish,cabinet wet,K31524010
Dryer,burning odor /musky,K56015924
Dryer,too long to dry,K06523316
Refrigeration,NOISE,K95054095
Dish,not working,K26124467
Dish,not filling,K55084900
Refrigeration,no ice,K72567184
LawnGarden,pull rope damaged,K21136013
Cooking,broken bolt warming draw,K84130536
Washer,clothes too wet,K86921381
Refrigeration,cripser drawer craked,K43744712
HVAC,battery,K31310566
Dryer,damage,K46428498
Refrigeration,Water dispenser amd ice maker not working,K72567184
Refrigeration,not working,K81075235
LawnGarden,change blades,K03543901
LawnGarden,info,K14011222
Refrigeration,.,K40045429
Refrigeration,not making ice,K15930152
Dish,dishes are not getting clean,K10092076
Refrigeration,handle,K57873880
LawnGarden,wont start,K21136013
Cooking,rear burner will not light,K19327043
Dryer,NDCS-not heating,K01251166
Refrigeration,mwo,K82007839
Refrigeration,error if,K05237145
LawnGarden,belt,K44908842
LawnGarden,tire,K11031315
Washer,LEAKING WATER,K50456523
Refrigeration,mwo,K82007839
Cooking,top oven not enough heat,K03979508
Refrigeration,NOISY,K02553768
Refrigeration,not freezing top of freezer,K74959840
Dryer,broken handle,K29003827
Dryer,noisy,K07173040
Refrigeration,ice,K95133724
Dish,film on dishes,K22249212
Washer,cleaning,K49764475
Washer,NOT FILLLING,K27059519
Washer,instructions,K43045550
Washer,cl,K45458811
LawnGarden,.,K55522150
Washer,stains,K27895437
Refrigeration,making a noises,K55224304
Refrigeration,mwo,K82007839
Cooking,BURNER DO NOT LITE,K62630052
Washer,NDCS/dispenser full of water,K01024703
Dryer,not heating,K88406101
Refrigeration,temp setting,K11074341
Refrigeration,no pwer,K27070130
Dish,not starting,K00241531
Washer,washer is vibrating and shaking,K46428498
Dryer,NOT DRYING,K44343207
LawnGarden,not starting,K14011222
Refrigeration,c,K33721236
Refrigeration,ice maker not working,K72567184
Cooking,maintence,K61291096
Refrigeration,noise,K31048934
Washer,stopped,K49797232
LawnGarden,start,K14011222
Dryer,not drying,K24114152
Washer,power,K50302412
Dryer,pilot needs to be relit,K51215704
Refrigeration,not making ice,K05703652
Dish,discolord,K10092076
Refrigeration,NDCS-electrical specs,K52051421
Dryer,Mwo,K46428498
Dryer,not heating,K51215704
Washer,cycle knob damaged,K64351951
Washer,info,K23123086
Washer,light on,K45458811
Dryer,light,K47654672
GarageDoorOpener-Tools,-keyless is damaged,K59279012
Electronics,sounds like a radio,K27536911
Dish,not cleaning,K10092076
Dish,wont empty completely,K43545405
Refrigeration,filter,K95133724
Refrigeration,no ice production,K04112301
Dish,light,K45112251
Dish,4545,K85291412
Refrigeration,error code,K90342169
Cooking,hot and has noise,K84783541
Washer,error,K26537943
Washer,will not fill,K21719975
GarageDoorOpener-Tools,keyless entry,K59279012
Dish,wheels for top rack,K34314374
LawnGarden,not cutting,K55522150
Electronics,picture,K28328182
Dryer,too long to dry,K06523316
Electronics,power,K12425231
Washer,error pf,K20408933
Washer,vibrating,K32612438
Refrigeration,black partticles,K12030289
Washer,,K71073315
Dish,water lines-mwo,K97140900
Refrigeration,ice dispense isnt working & water is trickling out,K82007839
Dish,445,K93931903
Dish,wheel assy broken,K34314374
Dryer,HEAT,K06523316
Washer,vibrating,K90302010
Washer,Leaking,K75910040
LawnGarden,starter cord getting stuck,K21136013
Dish,leak,K26124467
Dryer,cl error code,K21541259
Cooking,NDCS/ IT DOES NOT WORK MORE THAN 6 MINUTES,K35221207
Dryer,not heating,K01251166
LawnGarden,WILL NOT START,K14011222
Electronics,buttons,K03125031
Washer,not starting,K50302412
Electronics,netflix internet connection issue,K25351860
Refrigeration,TRACK,K20246013
Refrigeration,er,K24323351
Refrigeration,frost,K17399944
Cooking,gas odor,K54772506
Refrigeration,dispensing,K57435228
Cooking,clicking won't stop,K95962534
Refrigeration,,K24323351
Cooking,control,K35148072
Refrigeration,missing PLUG-BUTTON,K09147521
LawnGarden,not starting,K50085239
Dryer,not heating,K88406101
LawnGarden,battery needs to be charged,K11535466
Cooking,heat,K19002411
Dish,NEED NEW WHEEL ASSMBLY,K16584205
Refrigeration,LEAKING,K29318071
Dryer,mwo,K46428498
Cooking,HEATING,K19002411
LawnGarden,tire,K33445835
Refrigeration,owners manuel,K82007839
Refrigeration,NO ICE,K72567184
Dish,NOT SHUTTING OFF CONTROL PANNEL OFF AND ON,K17074240
Dish,DCS noise and drain/air gap,K68815161
Refrigeration,DCS ice maker not making ice,K15930152
Dryer,wont turn on,K54699012
Dryer,,K88406101
Refrigeration,NDCS/ICE MAKER FREEZING UP/inter. not able to disp,K22644634
Refrigeration,filter,K05135760
LawnGarden,draining,K45014600
Washer,water leak form bottom,K21223395
Cooking,oven not heating,K43592555
Dryer,heating,K23586020
Washer,fills up with 2 inches of water,K46990780
Dish,"not draining,not installed by sears",K90125028
LawnGarden,purging,K09786180
Dryer,not heating,K06523316
Dryer,info,K88406101
Washer,DCS  knotting and ripping clothes,K48185643
Refrigeration,NDCS water flow is poor,K50025586
Dish,,K32205453
Cooking,not starting,K94948106
Electronics,remote not working,K30524263
Washer,Error code D5,K55450105
Washer,needs to be leve,K32612438
Refrigeration,to cold,K06090534
Dryer,moves,K53150470
Refrigeration,leaking water in ice maker,K22644634
Cooking,cracked knobs,K50019121
LawnGarden,/ starter,K14011222
Refrigeration,not dispensing water/ice,K45644551
Washer,noise f,K50302412
Washer,clothes are not getting clean,K12902321
Washer,mwo,K46428498
Cooking,mwo,K41104894
Washer,ERROR CODE,K26537943
Washer,..,K26537943
Dryer,MWO,K46428498
Dryer,heating,K44343207
Refrigeration,frost,K02710674
Dish,DAMGE PART,K56729326
Washer,WILL TURN NOT TURN ON,K50302412
Dish,not cleaning right/not using rinse aid,K27812903
Refrigeration,WATER FILTER,K05135760
Dryer,no power,K54699012
Dish,,K34314374
Dish,not draining,K12291159
Refrigeration,water filter,K74959840
Dish,leaking water,K32303302
OutdoorGrill,ignitior,K14138809
Dish,taking to long,K10754275
Refrigeration,cooling,K74959840
Washer,not start,K55563242
LawnGarden,belt broken,K44908842
LawnGarden,gas,K50085239
Cooking,propane  problem/installation,K13102224
Cooking,DCS Door locked,K81001681
Washer,DISPENER CAPE FELL OFF,K35383867
LawnGarden,battery start,K25514225
Dryer,installation issue,K46428498
Refrigeration,control panel,K43084184
Refrigeration,leaking,K71214385
Dish,rack,K85291412
Refrigeration,not making enough ice,K15930152
Dish,mwo,K97140900
Dryer,not working,K06808013
Dryer,long dry times,K44343207
Electronics,NO SIGNAL,K43504968
Dryer,not enough heat,K11850393
Refrigeration,copper line,K78220160
HVAC,.,K04528439
Refrigeration,freezer door warm to touch,K44550414
Dryer,MAKING NOISE,K81058330
LawnGarden,wont start,K40928422
HVAC,not cooling,K05996536
Electronics,NDCS Wi Fi not Connecting,K02324506
Cooking,clog,K44164202
Dryer,exchange,K46428498
LawnGarden,oil is dirty,K84941290
Cooking,NDCS/loc,K62139310
Refrigeration,not making ice,K72567184
LawnGarden,runs rough,K14011222
Washer,NDCS Water in dispenser,K01024703
LawnGarden,oil is dirty,K88407954
Dryer,not heating,K06523316
Dryer,takes too long to dry,K06523316
Dish,broken adjusters,K32205453
Washer,CLOTHES IS TOO WET,K86921381
Cooking,rack not sliding,K13825232
Washer,cl error code (not starting),K34203586
Dish,NDCS/leaking from bottom,K28640668
Dryer,not drying,K91230329
Washer,NDCS-mwo,K46428498
Refrigeration,doors,K24342516
LawnGarden,not cranking,K02294308
Washer,NOT STARTING,K50302412
Refrigeration,not running,K71532941
LawnGarden,bolts broke,K27305919
Refrigeration,not dispensing the water,K05135760
Dish,RED LIGHT ON TURBO HEAT DRY,K00704020
Washer,NOT STARTING,K55563242
Washer,not starting,K50302412
HVAC,not cooling,K05022409
Dryer,/dryer door reversal - MWO del tm go back,K21080047
Cooking,beeps and shows lock door,K62139310
Cooking,b,K56735555
LawnGarden,not starting,K25514225
Washer,removall,K43045550
Washer,.,K46428498
LawnGarden,won't start,K27305919
Washer,clothes too wet,K87792675
Refrigeration,beeping/alarm,K55224304
LawnGarden,runs rough,K14011222
Refrigeration,info,K50602238
Dryer,check,K23488405
Washer,noise,K35288556
LawnGarden,dead battery,K40928422
Cooking,light out,K31220411
Cooking,light bulb out,K12424332
LawnGarden,oil info,K25339815
Dryer,NOT HEATING,K75908921
LawnGarden,clutch,K41557204
Washer,MAKING NOISE,K99145255
Dish,adjuster,K74398530
GarageDoorOpener-Tools,Remorgramming keyless entry,K59279012
LawnGarden,will not drive forward or backwards,K11535466
Refrigeration,very loud clunck and buzzing out,K15344003
Cooking,burner not working,K30488914
LawnGarden,dead battery,K40928422
Dish,c,K35244906
Washer,will not start,K50302412
Refrigeration,not making enough ice,K15930152
Refrigeration,not working,K61679903
Cooking,NO POWER,K80509628
Cooking,mwo,K41104894
Washer,NDCS/agitating instead of filling,K21744200
Dish,powrr cord,K80932509
Dryer,cool light,K11850393
HVAC,info,K41144775
Dryer,info,K70562743
Refrigeration,water filter light not changing,K95133724
LawnGarden,not starting,K40928422
OutdoorGrill,RUST,K85801820
Electronics,Picture not good,K51051935
Dish,model number,K31329840
Washer,clothes,K27895437
Dryer,NDCS check vents light on.,K94151051
Dryer,not heating,K06523316
LawnGarden,working,K54679041
Refrigeration,icemaker not making,K54111380
Dryer,odor,K43149059
LawnGarden,working,K25514225
Refrigeration,NDCS not dispensing water,K93385070
HVAC,cleaing,K21301255
HVAC,cleaing,K41144775
Refrigeration,filter,K05135760
Cooking,NOT HEATING,K46105080
Refrigeration,BROKEN RAILS,K42202788
LawnGarden,won't crank,K04236159
Refrigeration,filter,K95133724
Washer,water level,K46990780
LawnGarden,not cranking,K07330015
Dryer,info,K45004359
Washer,mwo,K87523412
LawnGarden,oil capacity,K25350079
Refrigeration,.,K93385070
LawnGarden,blades bent,K03543901
Electronics,no power,K12425231
WaterTreatment,info,K57467433
Cooking,smell gas,K18114310
LawnGarden,dead battery,K52114233
LawnGarden,transmission disengaged,K49132321
Refrigeration,filter,K95133724
Dryer,long dry time,K24114152
Cooking,MWO,K41104894
Refrigeration,.,K05135760
LawnGarden,not starting,K40928422
Washer,error,K92428448
Refrigeration,NDCS-mwo,K82007839
LawnGarden,NOT STARTING,K27305919
Dish,NDCS how to turn off cycle,K45112251
Washer,clothes not clean,K12902321
Refrigeration,delivery transfer,K82007839
LawnGarden,Wont Start,K14011222
Dish,.,K04635939
Cooking,,K94948106
LawnGarden,NDCS powerwasher wont work,K43185521
Dish,not cleaning,K51482973
Fitness,working,K64435250
Refrigeration,door screws not installed,K58301822
Dryer,mwo,K46428498
LawnGarden,wont start,K14011222
Refrigeration,drawer of ref broken,K43744712
Refrigeration,makes loud noise,K31048934
WaterTreatment,making a noises,K19522113
Electronics,audio,K44914172
Dryer,c,K06523316
Dryer,clean,K42518209
Refrigeration,making too ice,K38851271
Cooking,not ignighting,K10535142
Refrigeration,leaking water from freezer to fridge,K15104968
Dish,sani rinse,K13014981
Washer,not heating,K02537511
GarageDoorOpener-Tools,raises 1 foot stops,K20480219
Washer,info,K31118404
Washer,doesnt fills with any water,K46990780
Dryer,no power,K54699012
Cooking,,K41104894
Refrigeration,ice production,K11609054
Dryer,error code loc,K38094934
Refrigeration,.,K18401934
Refrigeration,filter,K05135760
Washer,drain,K36581248
Washer,clothes,K27895437
Refrigeration,no power,K18401934
Dish,not draining / drying issues,K12291159
LawnGarden,working,K03543901
LawnGarden,working,K62293897
Cooking,.,K84092217
Dish,RINSE AID CAP DAMAGED. NEED 2B REPLACED,K56729326
Washer,mwo,K46428498
Refrigeration,broken drawer,K43744712
Washer,water left in dispencer,K01024703
Refrigeration,noise,K48615172
Washer,MWO,K46428498
